"DeploymentID","HydrophoneArray","SensorNumber_1","HydrophoneType_1","SerialNumber_1","HydrophoneSensitivity_1","Current_mA_1","SensorNumber_2","HydrophoneType_2","SerialNumber_2","HydrophoneSensitivity_2","Current_mA_2"
"CalCurCEAS_001","W01_9299",1,"HTI-92-WB",856135,-155.1,1.19,2,"HTI-99-HF",856147,-160.1,1.09
"CalCurCEAS_002","F02_9299",1,"HTI-92-WB",856164,-155.1,1.22,2,"HTI-99-HF",856175,-159.9,1.11
"CalCurCEAS_003","K02_9299",1,"HTI-92-WB",856154,-155.2,1.13,2,"HTI-99-HF",856170,-159.8,1.13
"CalCurCEAS_004","X01_9299",1,"HTI-92-WB",856141,-155,1.19,2,"HTI-99-HF",856144,-159.9,1.14
"CalCurCEAS_006","Z01_9299",1,"HTI-92-WB",856139,-155.4,1.09,2,"HTI-99-HF",856148,-160.2,1.14
"CalCurCEAS_008","T01_9299",1,"HTI-92-WB",856136,-155.4,1.11,2,"HTI-99-HF",856145,-160.1,1.1
"CalCurCEAS_009","V01_9299",1,"HTI-92-WB",856138,-155.3,1.17,2,"HTI-99-HF",856151,-160.3,1.12
"CalCurCEAS_010","H02_9299",1,"HTI-92-WB",856159,-155.4,1.19,2,"HTI-99-HF",856177,-159.8,1.22
"CalCurCEAS_011","A02_9299",1,"HTI-92-WB",856156,-155.2,1.14,2,"HTI-99-HF",856167,-159.8,1.14
"CalCurCEAS_012","W01_9299",1,"HTI-92-WB",856135,-155.1,1.19,2,"HTI-99-HF",856147,-160.1,1.09
"CalCurCEAS_013","E02_9299",1,"HTI-92-WB",856163,-155.5,1.15,2,"HTI-99-HF",856171,-159.7,1.1
"CalCurCEAS_014","G02_9299",1,"HTI-92-WB",856161,-155.3,1.18,2,"HTI-99-HF",856176,-159.6,1.2
"CalCurCEAS_015","T01_9299",1,"HTI-92-WB",856136,-155.4,1.11,2,"HTI-99-HF",856145,-160.1,1.1
"CalCurCEAS_016","W01_9299",1,"HTI-92-WB",856135,-155.1,1.19,2,"HTI-99-HF",856147,-160.1,1.09
"CalCurCEAS_017","H02_9299",1,"HTI-92-WB",856159,-155.4,1.19,2,"HTI-99-HF",856177,-159.8,1.22
"CalCurCEAS_018","V01_9299",1,"HTI-92-WB",856138,-155.3,1.17,2,"HTI-99-HF",856151,-160.3,1.12
"CalCurCEAS_019","C02_9299",1,"HTI-92-WB",856155,-155.5,1.1,2,"HTI-99-HF",856166,-159.3,1.23
"CalCurCEAS_020","E02_9299",1,"HTI-92-WB",856163,-155.5,1.15,2,"HTI-99-HF",856171,-159.7,1.1
"CalCurCEAS_021","X01_9299",1,"HTI-92-WB",856141,-155,1.19,2,"HTI-99-HF",856144,-159.9,1.14
"CalCurCEAS_022","V01_9299",1,"HTI-92-WB",856138,-155.3,1.17,2,"HTI-99-HF",856151,-160.3,1.12
"CalCurCEAS_023","A02_9299",1,"HTI-92-WB",856156,-155.2,1.14,2,"HTI-99-HF",856167,-159.8,1.14
"CalCurCEAS_024","X01_9299",1,"HTI-92-WB",856141,-155,1.19,2,"HTI-99-HF",856144,-159.9,1.14
"CalCurCEAS_025","E02_9299",1,"HTI-92-WB",856163,-155.5,1.15,2,"HTI-99-HF",856171,-159.7,1.1
"CalCurCEAS_026","V01_9299",1,"HTI-92-WB",856138,-155.3,1.17,2,"HTI-99-HF",856151,-160.3,1.12
"CalCurCEAS_027","Z01_9299",1,"HTI-92-WB",856139,-155.4,1.09,2,"HTI-99-HF",856148,-160.2,1.14
